# Simple text file of zodiacal emission and ISM (Galactic) emission for 
# the so-called "1.2 min zody field", used for JWST background calculations
# Wave is wavelength in Micron. Zody and ISM are in MegaJanskies per sterradian (MJy/SR)
wave zody   ISM
0.5 0.130794 0.000470
0.6 0.167639 0.000725
0.7 0.171173 0.001048
0.8 0.160736 0.001440
0.9 0.150599 0.001907
1 0.143027 0.002452
1.1 0.133153 0.003078
1.2 0.120916 0.003788
1.3 0.111748 0.004175
1.4 0.107874 0.004175
1.5 0.103499 0.004175
1.6 0.098852 0.004175
1.7 0.092577 0.004175
1.8 0.085995 0.004175
1.9 0.080919 0.004175
2 0.075609 0.004175
2.1 0.073134 0.004175
2.2 0.070531 0.004175
2.3 0.065835 0.004423
2.4 0.061266 0.004675
2.5 0.056834 0.004931
2.6 0.053400 0.005189
2.7 0.050124 0.005450
2.8 0.047042 0.005714
2.9 0.044208 0.005981
3 0.041689 0.006251
3.1 0.040564 0.006525
3.2 0.039908 0.008633
3.3 0.039840 0.016755
3.4 0.040494 0.007557
3.5 0.042017 0.007640
3.6 0.043274 0.007942
3.7 0.046018 0.008248
3.8 0.050461 0.008557
3.9 0.056813 0.008869
4 0.065278 0.009184
4.1 0.076412 0.009502
4.2 0.089917 0.009823
4.3 0.105921 0.010147
4.4 0.124510 0.010474
4.5 0.145717 0.010803
4.6 0.169519 0.011135
4.7 0.195823 0.011470
4.8 0.224465 0.011808
4.9 0.266940 0.012149
5 0.312024 0.012715
5.1 0.362112 0.013295
5.2 0.417414 0.013533
5.3 0.478115 0.022057
5.4 0.544377 0.015961
5.5 0.616339 0.019513
5.6 0.694111 0.029520
5.7 0.777777 0.042673
5.8 0.867397 0.043314
5.9 0.963003 0.042207
6 1.064603 0.056287
6.1 1.172179 0.103785
6.2 1.285691 0.211498
6.3 1.405075 0.236487
6.4 1.530247 0.152620
6.5 1.661101 0.111061
6.6 1.797513 0.096044
6.7 1.939343 0.098200
6.8 2.086435 0.103514
6.9 2.238617 0.114773
7 2.395705 0.121878
7.1 2.557504 0.127724
7.2 2.723810 0.145452
7.3 2.894409 0.182417
7.4 3.069080 0.225608
7.5 3.247596 0.304750
7.6 3.429728 0.373702
7.7 3.615240 0.381623
7.8 3.803895 0.354507
7.9 3.995456 0.311748
8 4.189685 0.255186
8.1 4.386343 0.218182
8.2 4.585194 0.200356
8.3 4.786005 0.195699
8.4 4.988543 0.202409
8.5 5.192582 0.217216
8.6 5.397897 0.224946
8.7 5.604269 0.202540
8.8 5.811485 0.155932
8.9 6.019334 0.124682
9 6.227615 0.107443
9.1 6.436129 0.103740
9.2 6.644686 0.099286
9.3 6.853101 0.094312
9.4 7.061197 0.090805
9.5 7.268801 0.091312
9.6 7.475750 0.095460
9.7 7.681884 0.099732
9.8 7.887055 0.102484
9.9 8.091116 0.104833
10 8.293931 0.101139
10.1 8.495370 0.099759
10.2 8.695307 0.098281
10.3 8.893626 0.095589
10.4 9.090215 0.103759
10.5 9.284971 0.110423
10.6 9.477794 0.115315
10.7 9.668592 0.121867
10.8 9.857280 0.129217
10.9 10.043776 0.144317
11 10.228005 0.179982
11.1 10.409898 0.235977
11.2 10.589391 0.308923
11.3 10.766426 0.370618
11.4 10.940947 0.360502
11.5 11.112906 0.315253
11.6 11.282258 0.247313
11.7 11.448963 0.198890
11.8 11.612985 0.184853
11.9 11.774292 0.187250
12 11.932857 0.189110
12.1 12.088655 0.196200
12.2 12.241666 0.195854
12.3 12.391873 0.208813
12.4 12.539263 0.216910
12.5 12.683824 0.218344
12.6 12.825550 0.225284
12.7 12.964435 0.225735
12.8 13.100478 0.219034
12.9 13.233678 0.204503
13 13.364040 0.174102
13.1 13.491568 0.166218
13.2 13.616269 0.156229
13.3 13.738154 0.147894
13.4 13.857233 0.147320
13.5 13.973520 0.148124
13.6 14.087029 0.146952
13.7 14.197778 0.140638
13.8 14.305783 0.133294
13.9 14.411065 0.126790
14 14.513645 0.126714
14.1 14.613544 0.128372
14.2 14.710784 0.126148
14.3 14.805392 0.123092
14.4 14.897390 0.121636
14.5 14.986805 0.116542
14.6 15.073665 0.112551
14.7 15.157996 0.107164
14.8 15.239826 0.107362
14.9 15.319185 0.103858
15 15.396102 0.099567
15.1 15.470605 0.102149
15.2 15.542727 0.095376
15.3 15.612497 0.097126
15.4 15.679946 0.093708
15.5 15.745106 0.111832
15.6 15.808007 0.112400
15.7 15.868683 0.112967
15.8 15.927164 0.113532
15.9 15.983483 0.114098
16 16.037672 0.114662
16.1 16.089763 0.115226
16.2 16.139787 0.115789
16.3 16.187779 0.116351
16.4 16.233768 0.116912
16.5 16.277788 0.117473
16.6 16.319871 0.118033
16.7 16.360049 0.118592
16.8 16.398352 0.119151
16.9 16.434814 0.119709
17 16.469465 0.120266
17.1 16.502337 0.120822
17.2 16.533461 0.121378
17.3 16.562867 0.121933
17.4 16.590587 0.122488
17.5 16.616650 0.123042
17.6 16.641088 0.123595
17.7 16.663929 0.124147
17.8 16.685203 0.124699
17.9 16.704941 0.125250
18 16.723169 0.125800
18.1 16.739919 0.126350
18.2 16.755217 0.126899
18.3 16.769093 0.127448
18.4 16.781573 0.127995
18.5 16.792685 0.128543
18.6 16.802457 0.129089
18.7 16.810914 0.129635
18.8 16.818085 0.130180
18.9 16.823994 0.130725
19 16.828667 0.131269
19.1 16.832131 0.131813
19.2 16.834409 0.132356
19.3 16.835527 0.132898
19.4 16.835510 0.133440
19.5 16.834380 0.133981
19.6 16.832162 0.134521
19.7 16.828880 0.135061
19.8 16.824555 0.135600
19.9 16.819211 0.136139
20 16.812871 0.136677
20.1 16.805555 0.137215
20.2 16.797287 0.137752
20.3 16.788086 0.138288
20.4 16.777974 0.138824
20.5 16.766971 0.139360
20.6 16.755099 0.139894
20.7 16.742376 0.140429
20.8 16.728822 0.140962
20.9 16.714457 0.141495
21 16.699299 0.142028
21.1 16.683368 0.142560
21.2 16.666681 0.143092
21.3 16.649257 0.143623
21.4 16.631113 0.144153
21.5 16.612266 0.144683
21.6 16.592734 0.145212
21.7 16.572534 0.145741
21.8 16.551681 0.146270
21.9 16.530193 0.146797
22 16.508084 0.147325
22.1 16.485372 0.147852
22.2 16.462070 0.148378
22.3 16.438194 0.148904
22.4 16.413759 0.149429
22.5 16.388779 0.149954
22.6 16.363269 0.150478
22.7 16.337243 0.151002
22.8 16.310713 0.151525
22.9 16.283695 0.152048
23 16.256200 0.152570
23.1 16.228242 0.153092
23.2 16.199834 0.153614
23.3 16.170987 0.154135
23.4 16.141715 0.154655
23.5 16.112029 0.155175
23.6 16.081941 0.155695
23.7 16.051462 0.156214
23.8 16.020605 0.156732
23.9 15.989379 0.157250
24 15.957796 0.157768
24.1 15.925866 0.158285
24.2 15.893601 0.158802
24.3 15.861009 0.159318
24.4 15.828102 0.159834
24.5 15.794888 0.160349
24.6 15.761378 0.160864
24.7 15.727582 0.161379
24.8 15.693507 0.161893
24.9 15.659164 0.162406
25 15.624562 0.162919
25.1 15.589708 0.163801
25.2 15.554612 0.164684
25.3 15.519282 0.165569
25.4 15.483726 0.166455
25.5 15.447952 0.167341
25.6 15.411968 0.168230
25.7 15.375781 0.169119
25.8 15.339400 0.170009
25.9 15.302832 0.170901
26 15.266083 0.171794
26.1 15.229161 0.172688
26.2 15.192072 0.173584
26.3 15.154825 0.174480
26.4 15.117424 0.175378
26.5 15.079877 0.176277
26.6 15.042190 0.177177
26.7 15.004370 0.178079
26.8 14.966422 0.178982
26.9 14.928352 0.179885
27 14.890166 0.180790
27.1 14.851870 0.181696
27.2 14.813469 0.182604
27.3 14.774969 0.183512
27.4 14.736376 0.184422
27.5 14.697694 0.185333
27.6 14.658929 0.186245
27.7 14.620085 0.187158
27.8 14.581167 0.188073
27.9 14.542181 0.188988
28 14.503131 0.189905
28.1 14.464021 0.190823
28.2 14.424856 0.191742
28.3 14.385640 0.192662
28.4 14.346379 0.193584
28.5 14.307074 0.194506
28.6 14.267732 0.195430
28.7 14.228356 0.196355
28.8 14.188949 0.197281
28.9 14.149516 0.198208
29 14.110061 0.199136
29.1 14.070586 0.200066
29.2 14.031096 0.200996
29.3 13.991593 0.201928
29.4 13.952083 0.202861
29.5 13.912566 0.203795
29.6 13.873048 0.204730
29.7 13.833531 0.205667
29.8 13.794018 0.206604
29.9 13.754512 0.207543
30 13.715017 0.208482
